viajero_id,fecha_llegada,tipo_viajero,edad,tamaño_grupo,duracion_estancia,gasto_total,gasto_diario_promedio,gasto_alimentacion,gasto_hospedaje,gasto_actividades,actividades_preferidas,factor_estacional,mes,año,temporada
viajero_000001,2022-05-10,familiar,32,3,7,83432.83,11918.98,24514.37,29614.84,29303.61,"parques_tematicos,museos,playas,restaurantes_familiares",1.155,5,2022,primavera
viajero_000002,2020-07-08,familiar,43,5,6,182757.79,30459.63,50685.21,75534.56,56538.02,"parques_tematicos,museos,playas,restaurantes_familiares",1.8,7,2020,verano
viajero_000003,2022-10-18,aventura,29,4,6,38296.32,6382.72,15243.2,15925.02,7128.1,"deportes_extremos,senderismo,tours_naturaleza",1.26,10,2022,otoño
viajero_000004,2025-07-20,familiar,35,5,3,97996.03,32665.34,34983.28,40581.9,22430.85,"parques_tematicos,museos,playas,restaurantes_familiares",2.025,7,2025,verano
viajero_000005,2021-05-17,romantico,28,2,5,41200.11,8240.02,12127.05,13011.99,16061.07,"hoteles_boutique,restaurantes_romanticos,spas",1.23,5,2021,primavera
viajero_000006,2022-03-06,romantico,33,2,5,22789.99,4558.0,6445.34,8744.87,7599.78,"hoteles_boutique,restaurantes_romanticos,spas",0.945,3,2022,primavera
viajero_000007,2023-02-10,familiar,44,4,4,19299.61,4824.9,6933.05,6854.59,5511.97,"parques_tematicos,museos,playas,restaurantes_familiares",0.752,2,2023,invierno
viajero_000008,2020-07-16,negocios,43,2,3,13154.12,4384.71,3739.49,5721.92,3692.71,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.8,7,2020,verano
viajero_000009,2021-09-15,aventura,36,2,9,48160.13,5351.13,16833.18,14484.6,16842.34,"deportes_extremos,senderismo,tours_naturaleza",1.435,9,2021,otoño
viajero_000010,2025-04-03,negocios,29,1,1,4851.95,4851.95,1578.8,2500.6,772.55,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.238,4,2025,primavera
viajero_000011,2022-08-17,gastronomico,43,4,3,69796.71,23265.57,33121.15,25071.24,11604.32,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.47,8,2022,verano
viajero_000012,2021-07-23,lujo,58,2,3,68316.56,22772.19,23136.2,27703.96,17476.4,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.64,7,2021,verano
viajero_000013,2022-04-13,negocios,49,1,3,13186.43,4395.48,5226.81,6636.2,1323.42,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.155,4,2022,primavera
viajero_000014,2024-08-20,familiar,43,4,4,99646.39,24911.6,25624.81,38354.45,35667.13,"parques_tematicos,museos,playas,restaurantes_familiares",1.87,8,2024,verano
viajero_000015,2022-09-23,familiar,38,3,3,22957.34,7652.45,7860.08,10137.59,4959.67,"parques_tematicos,museos,playas,restaurantes_familiares",1.05,9,2022,otoño
viajero_000016,2021-05-11,gastronomico,56,3,2,14920.23,7460.12,8489.24,4528.15,1902.84,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.23,5,2021,primavera
viajero_000017,2021-02-21,familiar,31,4,7,60294.7,8613.53,21897.92,19021.08,19375.7,"parques_tematicos,museos,playas,restaurantes_familiares",0.717,2,2021,invierno
viajero_000018,2023-07-20,aventura,39,4,7,80626.64,11518.09,21259.71,30167.51,29199.42,"deportes_extremos,senderismo,tours_naturaleza",1.935,7,2023,verano
viajero_000019,2021-09-25,negocios,50,1,2,8589.41,4294.7,2909.95,4037.4,1642.06,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.23,9,2021,otoño
viajero_000020,2024-12-15,romantico,43,2,4,54356.25,13589.06,17146.7,22846.82,14362.73,"hoteles_boutique,restaurantes_romanticos,spas",1.76,12,2024,invierno
viajero_000021,2021-11-15,wellness,44,1,4,20722.76,5180.69,6042.9,6801.59,7878.27,"spas,yoga,retiros_wellness",0.922,11,2021,otoño
viajero_000022,2020-03-30,negocios,55,1,1,4808.35,4808.35,1599.92,2081.85,1126.57,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.2,3,2020,primavera
viajero_000023,2022-10-12,negocios,28,1,3,10614.46,3538.15,3859.02,5047.92,1707.52,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.365,10,2022,otoño
viajero_000024,2025-03-16,familiar,37,3,6,46302.72,7717.12,15883.98,18780.94,11637.8,"parques_tematicos,museos,playas,restaurantes_familiares",1.012,3,2025,primavera
viajero_000025,2021-03-10,mochilero,29,3,12,25482.32,2123.53,7288.5,4015.67,14178.15,"hostales,transporte_publico,comida_local",0.922,3,2021,primavera
viajero_000026,2022-01-30,negocios,43,1,1,3530.84,3530.84,931.59,1752.11,847.15,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.05,1,2022,invierno
viajero_000027,2022-12-15,gastronomico,41,2,2,11427.0,5713.5,5380.17,4108.86,1937.97,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.365,12,2022,invierno
viajero_000028,2023-04-30,familiar,29,4,3,37894.11,12631.37,14587.23,14821.65,8485.23,"parques_tematicos,museos,playas,restaurantes_familiares",1.29,4,2023,primavera
viajero_000029,2025-05-29,negocios,33,1,1,4287.69,4287.69,1501.96,2512.05,273.68,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.125,5,2025,primavera
viajero_000030,2022-04-26,aventura,38,1,10,13240.42,1324.04,5276.23,4612.34,3351.85,"deportes_extremos,senderismo,tours_naturaleza",1.155,4,2022,primavera
viajero_000031,2024-06-07,familiar,29,3,3,50936.3,16978.77,14274.6,16531.29,20130.41,"parques_tematicos,museos,playas,restaurantes_familiares",1.65,6,2024,verano
viajero_000032,2021-12-25,familiar,43,5,4,78873.43,19718.36,23655.91,32305.17,22912.36,"parques_tematicos,museos,playas,restaurantes_familiares",1.435,12,2021,invierno
viajero_000033,2024-01-11,familiar,39,3,3,24212.58,8070.86,7877.4,9224.49,7110.69,"parques_tematicos,museos,playas,restaurantes_familiares",0.88,1,2024,invierno
viajero_000034,2025-09-25,negocios,40,2,3,24853.86,8284.62,6594.52,14508.44,3750.89,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.35,9,2025,otoño
viajero_000035,2025-02-06,cultural,57,3,5,16531.12,3306.22,6123.59,4970.82,5436.71,"museos,sitios_historicos,tours_culturales,teatros",0.787,2,2025,invierno
viajero_000036,2022-07-25,familiar,44,3,4,35509.92,8877.48,11621.55,15849.19,8039.19,"parques_tematicos,museos,playas,restaurantes_familiares",1.89,7,2022,verano
viajero_000037,2021-11-19,aventura,27,1,11,11877.77,1079.8,3565.17,3697.85,4614.75,"deportes_extremos,senderismo,tours_naturaleza",0.717,11,2021,otoño
viajero_000038,2022-03-10,familiar,43,4,4,29392.44,7348.11,10532.49,12590.38,6269.57,"parques_tematicos,museos,playas,restaurantes_familiares",0.945,3,2022,primavera
viajero_000039,2021-03-27,lujo,55,2,5,122930.75,24586.15,37519.05,59894.97,25516.73,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.127,3,2021,primavera
viajero_000040,2025-03-05,lujo,56,4,4,132992.5,33248.12,34814.13,68531.47,29646.9,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.238,3,2025,primavera
viajero_000041,2025-09-12,aventura,25,2,9,45304.55,5033.84,11888.81,17690.19,15725.54,"deportes_extremos,senderismo,tours_naturaleza",1.575,9,2025,otoño
viajero_000042,2022-03-04,familiar,35,5,6,69953.91,11658.98,21177.22,25317.65,23459.04,"parques_tematicos,museos,playas,restaurantes_familiares",0.945,3,2022,primavera
viajero_000043,2020-03-01,cultural,54,3,7,51744.46,7392.07,18556.36,20469.32,12718.77,"museos,sitios_historicos,tours_culturales,teatros",1.0,3,2020,primavera
viajero_000044,2023-05-08,familiar,36,5,5,72322.3,14464.46,23748.12,28688.95,19885.22,"parques_tematicos,museos,playas,restaurantes_familiares",1.183,5,2023,primavera
viajero_000045,2023-03-28,negocios,39,1,3,12758.93,4252.98,4986.96,7141.9,630.08,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.29,3,2023,primavera
viajero_000046,2022-03-24,negocios,44,1,1,3160.54,3160.54,975.8,1342.87,841.87,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.26,3,2022,primavera
viajero_000047,2025-08-03,romantico,26,2,3,35772.22,11924.07,13239.85,14110.95,8421.42,"hoteles_boutique,restaurantes_romanticos,spas",1.463,8,2025,verano
viajero_000048,2021-12-27,gastronomico,59,4,3,32000.32,10666.77,18317.8,13485.81,196.71,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.333,12,2021,invierno
viajero_000049,2020-02-09,lujo,45,3,8,278906.88,34863.36,84265.03,159989.96,34651.9,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.0,2,2020,invierno
viajero_000050,2025-11-09,gastronomico,37,3,4,27981.15,6995.29,12273.28,8747.32,6960.55,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.012,11,2025,otoño
viajero_000051,2024-08-17,deportivo,36,4,3,34617.77,11539.26,11878.65,10622.85,12116.27,"actividades_deportivas,gimnasios,competencias",1.54,8,2024,verano
viajero_000052,2021-12-04,cultural,41,4,7,61550.86,8792.98,22522.9,20589.26,18438.7,"museos,sitios_historicos,tours_culturales,teatros",1.127,12,2021,invierno
viajero_000053,2024-04-11,gastronomico,52,1,3,11738.21,3912.74,6734.5,4888.84,114.87,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.21,4,2024,primavera
viajero_000054,2021-08-13,negocios,45,2,1,4475.55,4475.55,1430.79,2399.3,645.46,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.717,8,2021,verano
viajero_000055,2020-12-03,negocios,33,1,1,4469.99,4469.99,1352.59,1817.68,1299.72,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.9,12,2020,invierno
viajero_000056,2025-12-03,negocios,34,1,2,9599.62,4799.81,3097.41,5108.57,1393.64,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.012,12,2025,invierno
viajero_000057,2020-07-26,aventura,22,3,6,39018.51,6503.08,15459.87,15511.76,8046.87,"deportes_extremos,senderismo,tours_naturaleza",1.8,7,2020,verano
viajero_000058,2024-10-03,negocios,49,1,3,14704.39,4901.46,4606.27,6695.87,3402.25,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.43,10,2024,otoño
viajero_000059,2023-10-26,familiar,36,5,7,66881.37,9554.48,18360.85,23987.82,24532.7,"parques_tematicos,museos,playas,restaurantes_familiares",0.968,10,2023,otoño
viajero_000060,2025-08-02,negocios,30,1,1,3286.61,3286.61,1084.67,1828.53,373.41,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.787,8,2025,verano
viajero_000061,2024-07-13,romantico,49,2,3,25783.21,8594.4,10126.92,10206.75,5449.54,"hoteles_boutique,restaurantes_romanticos,spas",1.54,7,2024,verano
viajero_000062,2023-04-23,aventura,34,3,10,36398.02,3639.8,9195.14,12252.38,14950.51,"deportes_extremos,senderismo,tours_naturaleza",1.183,4,2023,primavera
viajero_000063,2020-10-29,aventura,31,3,8,57579.74,7197.47,17885.48,20098.49,19595.77,"deportes_extremos,senderismo,tours_naturaleza",1.2,10,2020,otoño
viajero_000064,2024-06-25,negocios,29,2,1,7739.02,7739.02,2816.24,3870.2,1052.58,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.99,6,2024,verano
